date_key,full_date,year,month,month_name,day,day_of_week_num,day_name,is_weekend,quarter
297,2016-10-23 00:00:00+05:30,2016,10,October  ,23,0,Sunday   ,t,4
298,2016-10-24 00:00:00+05:30,2016,10,October  ,24,1,Monday   ,f,4
299,2016-10-25 00:00:00+05:30,2016,10,October  ,25,2,Tuesday  ,f,4
300,2016-10-26 00:00:00+05:30,2016,10,October  ,26,3,Wednesday,f,4
301,2016-10-27 00:00:00+05:30,2016,10,October  ,27,4,Thursday ,f,4
302,2016-10-28 00:00:00+05:30,2016,10,October  ,28,5,Friday   ,f,4
303,2016-10-29 00:00:00+05:30,2016,10,October  ,29,6,Saturday ,t,4
304,2016-10-30 00:00:00+05:30,2016,10,October  ,30,0,Sunday   ,t,4
305,2016-10-31 00:00:00+05:30,2016,10,October  ,31,1,Monday   ,f,4
306,2016-11-01 00:00:00+05:30,2016,11,November ,1,2,Tuesday  ,f,4
307,2016-11-02 00:00:00+05:30,2016,11,November ,2,3,Wednesday,f,4
308,2016-11-03 00:00:00+05:30,2016,11,November ,3,4,Thursday ,f,4
309,2016-11-04 00:00:00+05:30,2016,11,November ,4,5,Friday   ,f,4
310,2016-11-05 00:00:00+05:30,2016,11,November ,5,6,Saturday ,t,4
311,2016-11-06 00:00:00+05:30,2016,11,November ,6,0,Sunday   ,t,4
312,2016-11-07 00:00:00+05:30,2016,11,November ,7,1,Monday   ,f,4
313,2016-11-08 00:00:00+05:30,2016,11,November ,8,2,Tuesday  ,f,4
314,2016-11-09 00:00:00+05:30,2016,11,November ,9,3,Wednesday,f,4
315,2016-11-10 00:00:00+05:30,2016,11,November ,10,4,Thursday ,f,4
316,2016-11-11 00:00:00+05:30,2016,11,November ,11,5,Friday   ,f,4
317,2016-11-12 00:00:00+05:30,2016,11,November ,12,6,Saturday ,t,4
318,2016-11-13 00:00:00+05:30,2016,11,November ,13,0,Sunday   ,t,4
319,2016-11-14 00:00:00+05:30,2016,11,November ,14,1,Monday   ,f,4
320,2016-11-15 00:00:00+05:30,2016,11,November ,15,2,Tuesday  ,f,4
321,2016-11-16 00:00:00+05:30,2016,11,November ,16,3,Wednesday,f,4
322,2016-11-17 00:00:00+05:30,2016,11,November ,17,4,Thursday ,f,4
323,2016-11-18 00:00:00+05:30,2016,11,November ,18,5,Friday   ,f,4
324,2016-11-19 00:00:00+05:30,2016,11,November ,19,6,Saturday ,t,4
325,2016-11-20 00:00:00+05:30,2016,11,November ,20,0,Sunday   ,t,4
326,2016-11-21 00:00:00+05:30,2016,11,November ,21,1,Monday   ,f,4
